DattributeId=1 Abandoned=False Version=13
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=53.2895 AttributeGrowth=1.7763
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=1223 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=6.25 AttributeGrowth=1.6964
AttributeType=ODP AttributeValue=1.25 AttributeBase=28.3333 AttributeGrowth=7.6905
AttributeType=IDP AttributeValue=1.25 AttributeBase=28.3333 AttributeGrowth=7.6905
AttributeType=HP AttributeValue=0.25 AttributeBase=666.6667 AttributeGrowth=61.9048
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=72.3684 AttributeGrowth=2.4123
AttributeType=DGP AttributeValue=1 AttributeBase=188.1579 AttributeGrowth=6.2719
AttributeType=CP AttributeValue=0.5 AttributeBase=71.4286 AttributeGrowth=2.381
AttributeType=CRP AttributeValue=0.5 AttributeBase=168.4211 AttributeGrowth=5.614
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=88.8158 AttributeGrowth=2.9605
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=1224 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=6.25 AttributeGrowth=1.6964
AttributeType=ODP AttributeValue=1.25 AttributeBase=28.3333 AttributeGrowth=7.6905
AttributeType=IDP AttributeValue=1.25 AttributeBase=28.3333 AttributeGrowth=7.6905
AttributeType=HP AttributeValue=0.25 AttributeBase=916.6667 AttributeGrowth=70.2381
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=108.5526 AttributeGrowth=3.6184
AttributeType=DGP AttributeValue=1 AttributeBase=282.2368 AttributeGrowth=9.4079
AttributeType=CP AttributeValue=0.5 AttributeBase=107.1429 AttributeGrowth=3.5714
AttributeType=CRP AttributeValue=0.5 AttributeBase=252.6316 AttributeGrowth=8.4211
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=133.2237 AttributeGrowth=4.4408
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=1225 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=6.25 AttributeGrowth=1.6964
AttributeType=ODP AttributeValue=1.25 AttributeBase=28.3333 AttributeGrowth=7.6905
AttributeType=IDP AttributeValue=1.25 AttributeBase=28.3333 AttributeGrowth=7.6905
AttributeType=HP AttributeValue=0.25 AttributeBase=1166.667 AttributeGrowth=78.5714
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=144.7368 AttributeGrowth=4.8246
AttributeType=DGP AttributeValue=1 AttributeBase=376.3158 AttributeGrowth=12.5439
AttributeType=CP AttributeValue=0.5 AttributeBase=142.8571 AttributeGrowth=4.7619
AttributeType=CRP AttributeValue=0.5 AttributeBase=336.8421 AttributeGrowth=11.2281
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=177.6316 AttributeGrowth=5.9211
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=1226 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=15.4167 AttributeGrowth=2.994
AttributeType=ODP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=IDP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=HP AttributeValue=0.25 AttributeBase=100 AttributeGrowth=27.1429
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=11.5789 AttributeGrowth=0.386
AttributeType=DGP AttributeValue=1 AttributeBase=11.5789 AttributeGrowth=0.386
AttributeType=CP AttributeValue=0.5 AttributeBase=18.2857 AttributeGrowth=0.6095
AttributeType=CRP AttributeValue=0.5 AttributeBase=16.8421 AttributeGrowth=0.5614
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=36.9474 AttributeGrowth=1.2316
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=1227 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=20.4167 AttributeGrowth=3.1607
AttributeType=ODP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=IDP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=HP AttributeValue=0.25 AttributeBase=100 AttributeGrowth=27.1429
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=23.1579 AttributeGrowth=0.7719
AttributeType=DGP AttributeValue=1 AttributeBase=23.1579 AttributeGrowth=0.7719
AttributeType=CP AttributeValue=0.5 AttributeBase=36.5714 AttributeGrowth=1.219
AttributeType=CRP AttributeValue=0.5 AttributeBase=33.6842 AttributeGrowth=1.1228
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=73.8947 AttributeGrowth=2.4632
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=1228 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=29.1667 AttributeGrowth=3.4524
AttributeType=ODP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=IDP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=HP AttributeValue=0.25 AttributeBase=100 AttributeGrowth=27.1429
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=43.4211 AttributeGrowth=1.4474
AttributeType=DGP AttributeValue=1 AttributeBase=43.4211 AttributeGrowth=1.4474
AttributeType=CP AttributeValue=0.5 AttributeBase=68.5714 AttributeGrowth=2.2857
AttributeType=CRP AttributeValue=0.5 AttributeBase=63.1579 AttributeGrowth=2.1053
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=138.5526 AttributeGrowth=4.6184
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=1229 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=41.6667 AttributeGrowth=3.869
AttributeType=ODP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=IDP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=HP AttributeValue=0.25 AttributeBase=100 AttributeGrowth=27.1429
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=72.3684 AttributeGrowth=2.4123
AttributeType=DGP AttributeValue=1 AttributeBase=72.3684 AttributeGrowth=2.4123
AttributeType=CP AttributeValue=0.5 AttributeBase=114.2857 AttributeGrowth=3.8095
AttributeType=CRP AttributeValue=0.5 AttributeBase=105.2632 AttributeGrowth=3.5088
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=230.9211 AttributeGrowth=7.6974
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=1230 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=57.2917 AttributeGrowth=4.3899
AttributeType=ODP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=IDP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=HP AttributeValue=0.25 AttributeBase=100 AttributeGrowth=27.1429
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=108.5526 AttributeGrowth=3.6184
AttributeType=DGP AttributeValue=1 AttributeBase=108.5526 AttributeGrowth=3.6184
AttributeType=CP AttributeValue=0.5 AttributeBase=171.4286 AttributeGrowth=5.7143
AttributeType=CRP AttributeValue=0.5 AttributeBase=157.8947 AttributeGrowth=5.2632
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=346.3816 AttributeGrowth=11.5461
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=1231 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=72.9167 AttributeGrowth=4.9107
AttributeType=ODP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=IDP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=HP AttributeValue=0.25 AttributeBase=100 AttributeGrowth=27.1429
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=144.7368 AttributeGrowth=4.8246
AttributeType=DGP AttributeValue=1 AttributeBase=144.7368 AttributeGrowth=4.8246
AttributeType=CP AttributeValue=0.5 AttributeBase=228.5714 AttributeGrowth=7.619
AttributeType=CRP AttributeValue=0.5 AttributeBase=210.5263 AttributeGrowth=7.0175
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=461.8421 AttributeGrowth=15.3947
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=1232 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=8.3333 AttributeGrowth=2.2619
AttributeType=ODP AttributeValue=1.25 AttributeBase=22.6667 AttributeGrowth=6.1524
AttributeType=IDP AttributeValue=1.25 AttributeBase=22.6667 AttributeGrowth=6.1524
AttributeType=HP AttributeValue=0.25 AttributeBase=213.3333 AttributeGrowth=38.8571
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=16.2105 AttributeGrowth=0.5404
AttributeType=DGP AttributeValue=1 AttributeBase=27.7895 AttributeGrowth=0.9263
AttributeType=CP AttributeValue=0.5 AttributeBase=16 AttributeGrowth=0.5333
AttributeType=CRP AttributeValue=0.5 AttributeBase=23.5789 AttributeGrowth=0.786
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=14.2105 AttributeGrowth=0.4737
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=1233 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=8.3333 AttributeGrowth=2.2619
AttributeType=ODP AttributeValue=1.25 AttributeBase=22.6667 AttributeGrowth=6.1524
AttributeType=IDP AttributeValue=1.25 AttributeBase=22.6667 AttributeGrowth=6.1524
AttributeType=HP AttributeValue=0.25 AttributeBase=293.3333 AttributeGrowth=41.5238
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=32.4211 AttributeGrowth=1.0807
AttributeType=DGP AttributeValue=1 AttributeBase=55.5789 AttributeGrowth=1.8526
AttributeType=CP AttributeValue=0.5 AttributeBase=32 AttributeGrowth=1.0667
AttributeType=CRP AttributeValue=0.5 AttributeBase=47.1579 AttributeGrowth=1.5719
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=28.4211 AttributeGrowth=0.9474
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=1234 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=8.3333 AttributeGrowth=2.2619
AttributeType=ODP AttributeValue=1.25 AttributeBase=22.6667 AttributeGrowth=6.1524
AttributeType=IDP AttributeValue=1.25 AttributeBase=22.6667 AttributeGrowth=6.1524
AttributeType=HP AttributeValue=0.25 AttributeBase=433.3333 AttributeGrowth=46.1905
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=60.7895 AttributeGrowth=2.0263
AttributeType=DGP AttributeValue=1 AttributeBase=104.2105 AttributeGrowth=3.4737
AttributeType=CP AttributeValue=0.5 AttributeBase=60 AttributeGrowth=2
AttributeType=CRP AttributeValue=0.5 AttributeBase=88.4211 AttributeGrowth=2.9474
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=53.2895 AttributeGrowth=1.7763
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=1235 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=8.3333 AttributeGrowth=2.2619
AttributeType=ODP AttributeValue=1.25 AttributeBase=22.6667 AttributeGrowth=6.1524
AttributeType=IDP AttributeValue=1.25 AttributeBase=22.6667 AttributeGrowth=6.1524
AttributeType=HP AttributeValue=0.25 AttributeBase=633.3333 AttributeGrowth=52.8571
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=101.3158 AttributeGrowth=3.3772
AttributeType=DGP AttributeValue=1 AttributeBase=173.6842 AttributeGrowth=5.7895
AttributeType=CP AttributeValue=0.5 AttributeBase=100 AttributeGrowth=3.3333
AttributeType=CRP AttributeValue=0.5 AttributeBase=147.3684 AttributeGrowth=4.9123
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=88.8158 AttributeGrowth=2.9605
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=1236 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=8.3333 AttributeGrowth=2.2619
AttributeType=ODP AttributeValue=1.25 AttributeBase=22.6667 AttributeGrowth=6.1524
AttributeType=IDP AttributeValue=1.25 AttributeBase=22.6667 AttributeGrowth=6.1524
AttributeType=HP AttributeValue=0.25 AttributeBase=883.3333 AttributeGrowth=61.1905
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=151.9737 AttributeGrowth=5.0658
AttributeType=DGP AttributeValue=1 AttributeBase=260.5263 AttributeGrowth=8.6842
AttributeType=CP AttributeValue=0.5 AttributeBase=150 AttributeGrowth=5
AttributeType=CRP AttributeValue=0.5 AttributeBase=221.0526 AttributeGrowth=7.3684
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=133.2237 AttributeGrowth=4.4408
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=1237 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=8.3333 AttributeGrowth=2.2619
AttributeType=ODP AttributeValue=1.25 AttributeBase=22.6667 AttributeGrowth=6.1524
AttributeType=IDP AttributeValue=1.25 AttributeBase=22.6667 AttributeGrowth=6.1524
AttributeType=HP AttributeValue=0.25 AttributeBase=1133.333 AttributeGrowth=69.5238
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=202.6316 AttributeGrowth=6.7544
AttributeType=DGP AttributeValue=1 AttributeBase=347.3684 AttributeGrowth=11.5789
AttributeType=CP AttributeValue=0.5 AttributeBase=200 AttributeGrowth=6.6667
AttributeType=CRP AttributeValue=0.5 AttributeBase=294.7368 AttributeGrowth=9.8246
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=177.6316 AttributeGrowth=5.9211
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=1238 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=21.5833 AttributeGrowth=4.1917
AttributeType=ODP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=IDP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=HP AttributeValue=0.25 AttributeBase=100 AttributeGrowth=27.1429
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=16.2105 AttributeGrowth=0.5404
AttributeType=DGP AttributeValue=1 AttributeBase=16.2105 AttributeGrowth=0.5404
AttributeType=CP AttributeValue=0.5 AttributeBase=16 AttributeGrowth=0.5333
AttributeType=CRP AttributeValue=0.5 AttributeBase=23.5789 AttributeGrowth=0.786
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=28.4211 AttributeGrowth=0.9474
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=1239 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=28.5833 AttributeGrowth=4.425
AttributeType=ODP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=IDP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=HP AttributeValue=0.25 AttributeBase=100 AttributeGrowth=27.1429
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=32.4211 AttributeGrowth=1.0807
AttributeType=DGP AttributeValue=1 AttributeBase=32.4211 AttributeGrowth=1.0807
AttributeType=CP AttributeValue=0.5 AttributeBase=32 AttributeGrowth=1.0667
AttributeType=CRP AttributeValue=0.5 AttributeBase=47.1579 AttributeGrowth=1.5719
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=56.8421 AttributeGrowth=1.8947
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=1240 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=40.8333 AttributeGrowth=4.8333
AttributeType=ODP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=IDP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=HP AttributeValue=0.25 AttributeBase=100 AttributeGrowth=27.1429
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=60.7895 AttributeGrowth=2.0263
AttributeType=DGP AttributeValue=1 AttributeBase=60.7895 AttributeGrowth=2.0263
AttributeType=CP AttributeValue=0.5 AttributeBase=60 AttributeGrowth=2
AttributeType=CRP AttributeValue=0.5 AttributeBase=88.4211 AttributeGrowth=2.9474
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=106.5789 AttributeGrowth=3.5526
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=1241 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=58.3333 AttributeGrowth=5.4167
AttributeType=ODP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=IDP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=HP AttributeValue=0.25 AttributeBase=100 AttributeGrowth=27.1429
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=101.3158 AttributeGrowth=3.3772
AttributeType=DGP AttributeValue=1 AttributeBase=101.3158 AttributeGrowth=3.3772
AttributeType=CP AttributeValue=0.5 AttributeBase=100 AttributeGrowth=3.3333
AttributeType=CRP AttributeValue=0.5 AttributeBase=147.3684 AttributeGrowth=4.9123
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=177.6316 AttributeGrowth=5.9211
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=1242 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=80.2083 AttributeGrowth=6.1458
AttributeType=ODP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=IDP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=HP AttributeValue=0.25 AttributeBase=100 AttributeGrowth=27.1429
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=151.9737 AttributeGrowth=5.0658
AttributeType=DGP AttributeValue=1 AttributeBase=151.9737 AttributeGrowth=5.0658
AttributeType=CP AttributeValue=0.5 AttributeBase=150 AttributeGrowth=5
AttributeType=CRP AttributeValue=0.5 AttributeBase=221.0526 AttributeGrowth=7.3684
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=266.4474 AttributeGrowth=8.8816
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=1243 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=102.0833 AttributeGrowth=6.875
AttributeType=ODP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=IDP AttributeValue=1.25 AttributeBase=11.3333 AttributeGrowth=3.0762
AttributeType=HP AttributeValue=0.25 AttributeBase=100 AttributeGrowth=27.1429
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=202.6316 AttributeGrowth=6.7544
AttributeType=DGP AttributeValue=1 AttributeBase=202.6316 AttributeGrowth=6.7544
AttributeType=CP AttributeValue=0.5 AttributeBase=200 AttributeGrowth=6.6667
AttributeType=CRP AttributeValue=0.5 AttributeBase=294.7368 AttributeGrowth=9.8246
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=355.2632 AttributeGrowth=11.8421
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=1244 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=6.25 AttributeGrowth=1.6964
AttributeType=ODP AttributeValue=1.25 AttributeBase=28.3333 AttributeGrowth=7.6905
AttributeType=IDP AttributeValue=1.25 AttributeBase=28.3333 AttributeGrowth=7.6905
AttributeType=HP AttributeValue=0.25 AttributeBase=313.3333 AttributeGrowth=66
AttributeType=ASP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=HITP AttributeValue=1 AttributeBase=16.2105 AttributeGrowth=0.5404
AttributeType=DGP AttributeValue=1 AttributeBase=27.7895 AttributeGrowth=0.9263
AttributeType=CP AttributeValue=0.5 AttributeBase=16 AttributeGrowth=0.5333
AttributeType=CRP AttributeValue=0.5 AttributeBase=23.5789 AttributeGrowth=0.786
AttributeType=OABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=IABP AttributeValue=0.75 AttributeBase=0 AttributeGrowth=0
AttributeType=CDP AttributeValue=0.5 AttributeBase=14.2105 AttributeGrowth=0.4737
AttributeType=AVOP AttributeValue=0 AttributeBase=0 AttributeGrowth=0
AttributeType=SP AttributeValue=0 AttributeBase=0 AttributeGrowth=0

DattributeId=1245 Abandoned=False Version=13
AttributeType=AP AttributeValue=4 AttributeBase=6.25 AttributeGrowth=1.6964
AttributeType=ODP AttributeValue=1.25 AttributeBase=28.3333 AttributeGrowth=7.6905
AttributeType=IDP AttributeValue=1.25 AttributeBase=28.3333 AttributeGrowth=7.6905
AttributeType=HP AttributeValue=0.25 AttributeBase=393.3333 AttributeGrowth=68.6667
